iter	Passed	Remaining
405	6662	9748
406	6678	9730
407	6692	9711
408	6711	9698
409	6730	9685
410	6748	9671
411	6764	9654
412	6782	9640
413	6798	9623
414	6812	9603
415	6827	9584
416	6841	9564
417	6856	9546
418	6873	9530
419	6891	9516
420	6905	9496
421	6919	9476
422	6935	9461
423	6948	9438
424	6964	9422
425	6977	9400
426	6989	9378
427	7005	9362
428	7018	9341
429	7033	9324
430	7046	9302
431	7060	9283
432	7073	9263
433	7085	9241
434	7102	9224
435	7120	9211
436	7138	9196
437	7156	9183
438	7170	9163
439	7185	9145
440	7200	9126
441	7215	9109
442	7232	9093
443	7250	9079
444	7266	9063
445	7284	9047
446	7301	9032
447	7321	9021
448	7338	9005
449	7352	8986
450	7369	8970
451	7386	8954
452	7404	8940
453	7419	8922
454	7432	8902
455	7444	8881
456	7458	8861
457	7477	8848
458	7497	8837
459	7513	8819
460	7531	8805
461	7547	8788
462	7565	8774
463	7582	8758
464	7599	8743
465	7621	8733
466	7641	8721
467	7660	8707
468	7675	8690
469	7694	8676
470	7716	8666
471	7734	8652
472	7750	8635
473	7763	8615
474	7783	8602
475	7805	8592
476	7825	8579
477	7844	8566
478	7858	8547
479	7871	8527
480	7888	8511
481	7906	8496
482	7925	8483
483	7946	8471
484	7962	8455
485	7978	8437
486	7996	8423
487	8015	8409
488	8033	8394
489	8052	8381
490	8072	8368
491	8092	8356
492	8112	8343
493	8136	8334
494	8158	8322
495	8177	8309
496	8195	8294
497	8214	8280
498	8228	8261
499	8243	8243
500	8256	8223
501	8273	8207
502	8286	8187
503	8303	8171
504	8317	8153
505	8335	8137
506	8350	8120
507	8364	8100
508	8376	8080
509	8391	8062
510	8404	8042
511	8419	8024
512	8431	8004
513	8447	7987
514	8461	7968
515	8478	7952
516	8493	7934
517	8507	7916
518	8525	7901
519	8542	7885
520	8559	7869
521	8572	7849
522	8584	7829
523	8600	7812
524	8612	7792
525	8627	7774
526	8641	7755
527	8658	7739
528	8676	7724
529	8692	7708
530	8706	7689
531	8723	7674
532	8739	7656
533	8751	7637
534	8765	7618
535	8781	7601
536	8796	7584
537	8811	7566
538	8823	7547
539	8836	7527
540	8851	7509
541	8864	7490
542	8881	7474
543	8907	7466
544	8920	7447
545	8935	7429
546	8947	7410
547	8961	7391
548	8975	7373
549	8987	7353
550	9004	7337
551	9016	7317
552	9031	7300
553	9044	7281
554	9057	7262
555	9073	7245
556	9090	7229
557	9108	7214
558	9121	7195
559	9133	7176
560	9148	7159
561	9163	7141
562	9176	7122
563	9189	7104
564	9205	7087
565	9221	7071
566	9235	7052
567	9249	7034
568	9268	7020
569	9286	7005
570	9303	6989
571	9318	6972
572	9334	6955
573	9347	6937
574	9362	6919
575	9376	6901
576	9389	6883
577	9404	6866
578	9417	6847
579	9432	6830
580	9449	6814
581	9466	6799
582	9481	6781
583	9499	6766
584	9516	6750
585	9530	6733
586	9548	6718
587	9565	6702
